time,VNINDEX,VCB,BID,VIC,HPG,MSN,MWG,GAS
2017-10-13 07:00:00,0.82,16.64,11.02,20.57,7.38,47.15,28.81,39.46
2017-10-16 07:00:00,0.82,16.51,11.1,20.06,7.2,46.42,29.39,39.12
2017-10-17 07:00:00,0.83,17.34,11.73,20.32,7.39,45.53,29.41,39.12
2017-10-18 07:00:00,0.83,17.21,11.67,20.17,7.28,45.94,29.62,39.18
2017-10-19 07:00:00,0.83,17.13,11.59,20.2,7.16,45.37,30.42,39.63
2017-10-20 07:00:00,0.83,17.25,11.67,20.32,7.1,45.77,29.39,39.86
2017-10-23 07:00:00,0.82,16.87,11.4,20.35,7.03,45.37,28.92,38.39
2017-10-24 07:00:00,0.83,16.92,11.32,20.39,7.11,45.37,29.5,39.29
2017-10-25 07:00:00,0.83,17.23,11.46,20.32,7.08,45.77,30.26,39.35
2017-10-26 07:00:00,0.83,17.17,11.29,20.32,7.01,46.34,30.03,38.67
2017-10-27 07:00:00,0.84,17.76,11.56,20.94,7.14,47.39,30.19,39.07
2017-10-30 07:00:00,0.85,17.72,11.92,21.31,6.97,48.61,29.92,41.1
2017-10-31 07:00:00,0.84,17.51,11.92,21.49,7.01,48.2,29.62,40.31
2017-11-01 07:00:00,0.84,17.59,12.22,21.53,6.77,48.61,29.25,41.15
2017-11-02 07:00:00,0.83,17.38,11.95,22.04,6.6,48.69,27.66,40.93
2017-11-03 07:00:00,0.84,17.72,12.22,22.12,6.86,48.77,28.92,41.44
2017-11-06 07:00:00,0.85,17.97,12.46,22.23,6.99,48.77,29.27,42.28
2017-11-07 07:00:00,0.85,17.95,12.46,22.78,6.99,48.53,29.11,42.11
2017-11-08 07:00:00,0.86,18.44,12.98,24.06,7.02,48.53,29.5,43.18
2017-11-09 07:00:00,0.86,18.23,12.82,25.2,7.02,48.12,29.73,43.3
2017-11-10 07:00:00,0.87,18.23,12.87,24.25,7.06,48.2,29.71,43.3
2017-11-13 07:00:00,0.88,18.35,13.06,25.2,6.95,47.8,29.5,44.82
2017-11-14 07:00:00,0.88,18.52,13.26,25.2,7.09,46.99,31.0,45.1
2017-11-15 07:00:00,0.88,18.44,13.2,25.35,7.34,45.77,30.77,44.93
2017-11-16 07:00:00,0.89,18.9,13.17,25.68,7.32,47.8,31.0,45.04
2017-11-17 07:00:00,0.89,18.78,13.12,26.23,7.24,46.99,30.88,44.76
2017-11-20 07:00:00,0.9,19.03,13.09,28.03,7.09,47.88,31.46,46.07
2017-11-21 07:00:00,0.92,19.75,13.12,28.29,7.12,50.55,31.46,46.19
2017-11-22 07:00:00,0.93,20.3,14.02,27.92,7.26,51.85,31.69,47.16
2017-11-23 07:00:00,0.93,20.26,13.8,28.1,7.24,51.85,31.53,45.96
2017-11-24 07:00:00,0.94,20.04,13.8,27.37,7.41,52.09,31.48,45.73
2017-11-27 07:00:00,0.94,20.26,13.75,27.92,7.44,55.09,30.65,46.25
2017-11-28 07:00:00,0.94,20.38,13.64,27.99,7.47,56.71,30.56,45.5
2017-11-29 07:00:00,0.95,20.72,13.96,27.99,7.45,56.71,31.0,45.5
2017-11-30 07:00:00,0.95,20.51,13.99,27.37,7.81,54.36,31.11,45.45
2017-12-01 07:00:00,0.96,20.43,13.91,27.41,7.86,55.49,31.32,46.64
2017-12-04 07:00:00,0.97,20.89,13.91,27.96,7.96,55.9,31.39,46.42
2017-12-05 07:00:00,0.95,20.34,13.58,26.82,7.88,55.82,30.58,47.16
2017-12-06 07:00:00,0.95,20.3,13.56,26.82,8.01,54.85,29.89,47.5
2017-12-07 07:00:00,0.94,20.13,13.64,26.45,7.95,55.9,29.66,48.47
2017-12-08 07:00:00,0.94,19.9,13.64,26.82,7.81,58.25,29.73,48.87
2017-12-11 07:00:00,0.92,18.86,13.09,26.45,7.62,58.33,29.32,47.44
2017-12-12 07:00:00,0.93,18.9,13.15,26.16,7.52,58.49,29.15,49.61
2017-12-13 07:00:00,0.92,18.61,13.04,26.45,7.64,58.01,28.6,49.38
2017-12-14 07:00:00,0.94,19.16,13.34,26.45,7.7,59.22,29.85,48.93
2017-12-15 07:00:00,0.94,19.45,13.26,25.79,7.9,58.09,30.42,49.61
2017-12-18 07:00:00,0.96,20.21,13.28,27.18,8.15,61.17,30.42,52.75
2017-12-19 07:00:00,0.95,20.19,13.15,27.0,8.26,61.57,30.88,51.55
2017-12-20 07:00:00,0.95,20.72,13.36,27.0,8.34,61.65,30.65,52.52
2017-12-21 07:00:00,0.95,20.51,13.2,26.82,8.36,59.3,29.85,52.69
2017-12-22 07:00:00,0.95,21.48,13.01,27.77,8.41,59.87,30.42,53.09
2017-12-25 07:00:00,0.96,21.74,12.98,28.66,8.31,60.11,30.19,53.77
2017-12-26 07:00:00,0.97,21.74,13.15,28.66,8.32,61.17,30.42,55.6
2017-12-27 07:00:00,0.97,22.2,13.31,28.36,8.6,60.76,29.96,56.34
2017-12-28 07:00:00,0.98,22.88,13.5,28.44,8.68,61.33,30.15,56.28
2017-12-29 07:00:00,0.98,22.96,13.91,28.4,8.88,62.14,30.19,55.54
2018-01-02 07:00:00,1.0,23.26,14.73,28.73,9.04,64.81,30.42,54.34
2018-01-03 07:00:00,1.01,23.22,14.62,29.57,9.02,66.84,31.02,55.54
2018-01-04 07:00:00,1.02,23.43,15.03,29.76,9.13,66.84,31.09,58.16
2018-01-05 07:00:00,1.01,22.84,14.95,29.39,9.1,68.62,30.74,57.25
2018-01-08 07:00:00,1.02,23.43,15.19,29.5,9.38,71.94,30.26,57.25
2018-01-09 07:00:00,1.03,24.74,14.95,29.61,10.03,72.91,30.31,58.16
2018-01-10 07:00:00,1.04,24.53,14.97,29.68,9.8,70.48,30.58,58.73
2018-01-11 07:00:00,1.05,24.87,15.06,29.76,9.8,72.91,30.4,58.85
2018-01-12 07:00:00,1.05,24.53,14.86,31.37,9.87,75.34,30.01,57.31
2018-01-15 07:00:00,1.06,25.37,14.89,32.03,10.35,75.18,30.08,58.28
2018-01-16 07:00:00,1.06,25.37,15.11,31.59,10.61,74.86,30.17,59.02
2018-01-17 07:00:00,1.03,23.77,14.73,30.86,10.16,73.08,29.5,56.97
2018-01-18 07:00:00,1.05,24.74,14.78,31.01,10.61,74.53,29.85,57.08
2018-01-19 07:00:00,1.06,25.8,14.67,30.86,11.31,70.89,29.39,56.45
2018-01-22 07:00:00,1.09,26.77,15.52,31.23,12.05,74.94,29.62,60.39
2018-01-24 07:00:00,1.09,26.77,15.52,31.23,12.05,74.94,29.62,60.39
2018-01-25 07:00:00,1.1,28.63,16.58,31.26,11.66,78.75,29.73,64.61
2018-01-26 07:00:00,1.12,29.22,17.73,31.41,12.11,78.99,29.32,66.37
2018-01-29 07:00:00,1.11,28.76,18.87,31.41,11.66,76.56,28.53,66.09
2018-01-30 07:00:00,1.11,28.33,19.64,31.23,11.62,73.56,29.02,66.43
2018-01-31 07:00:00,1.11,28.16,18.66,31.59,11.81,74.61,28.92,71.05
2018-02-01 07:00:00,1.1,28.16,18.38,31.81,11.56,74.61,30.93,69.68
2018-02-02 07:00:00,1.11,28.5,18.38,32.03,11.58,73.72,29.18,69.0
2018-02-05 07:00:00,1.05,26.51,17.1,29.79,10.8,68.62,28.46,64.21
2018-02-06 07:00:00,1.01,26.22,15.93,29.79,10.99,69.67,27.43,59.76
2018-02-07 07:00:00,1.04,26.85,17.02,29.76,11.28,67.24,27.77,62.72
2018-02-08 07:00:00,1.02,26.6,17.57,29.02,11.31,68.86,27.36,59.3
2018-02-09 07:00:00,1.0,25.75,17.62,28.73,11.05,66.59,25.81,55.2
2018-02-12 07:00:00,1.04,26.85,18.85,30.71,11.14,68.86,26.25,59.02
2018-02-13 07:00:00,1.06,27.06,19.31,31.63,11.48,69.35,27.66,61.58
2018-02-21 07:00:00,1.09,28.0,20.4,33.06,11.37,72.51,28.35,63.86
2018-02-22 07:00:00,1.08,28.25,20.07,33.25,11.16,71.29,27.43,60.44
2018-02-23 07:00:00,1.1,30.19,20.24,33.65,11.67,72.75,27.61,63.29
2018-02-26 07:00:00,1.11,30.41,20.78,34.9,12.2,72.83,27.89,64.44
2018-02-27 07:00:00,1.12,30.96,20.81,34.35,12.15,74.05,29.04,64.72
2018-02-28 07:00:00,1.12,31.21,21.27,34.86,12.51,72.26,28.58,64.95
2018-03-01 07:00:00,1.12,30.24,20.62,34.53,12.64,73.72,28.23,66.15
2018-03-02 07:00:00,1.12,30.36,20.62,34.72,12.57,74.13,28.0,66.72
2018-03-05 07:00:00,1.09,28.76,19.2,34.53,11.69,73.72,27.54,63.86
2018-03-06 07:00:00,1.12,30.11,20.54,36.19,12.11,73.32,26.97,66.72
2018-03-07 07:00:00,1.11,29.43,20.46,36.22,11.58,74.05,26.3,65.46
2018-03-08 07:00:00,1.12,29.39,20.29,37.91,11.71,76.15,26.53,65.35
2018-03-09 07:00:00,1.12,30.02,20.32,38.02,11.66,76.23,26.76,63.86
2018-03-12 07:00:00,1.13,30.45,21.06,36.74,11.75,77.13,26.97,66.26
2018-03-13 07:00:00,1.13,30.45,21.38,37.69,11.66,76.96,26.73,65.58
2018-03-14 07:00:00,1.14,31.21,21.27,37.66,11.71,76.15,26.5,67.4
2018-03-15 07:00:00,1.14,31.21,22.75,36.55,11.48,75.34,26.16,69.0
2018-03-16 07:00:00,1.15,31.59,23.35,36.63,11.41,74.53,26.14,72.99
2018-03-19 07:00:00,1.16,31.42,22.75,38.35,11.96,76.4,26.97,73.27
2018-03-20 07:00:00,1.16,31.29,23.18,38.28,11.66,81.42,27.66,71.85
2018-03-21 07:00:00,1.17,31.08,23.73,39.68,11.94,82.96,27.66,72.53
2018-03-22 07:00:00,1.17,30.45,24.17,39.68,11.9,83.93,27.22,76.3
2018-03-23 07:00:00,1.15,29.56,23.1,40.23,11.64,82.63,26.78,74.64
2018-03-26 07:00:00,1.17,30.41,24.49,41.81,11.16,88.39,26.5,73.9
2018-03-27 07:00:00,1.17,30.02,24.06,41.51,11.26,88.31,26.27,72.3
2018-03-28 07:00:00,1.17,29.81,24.3,42.06,11.35,89.44,26.09,72.42
2018-03-29 07:00:00,1.17,30.02,24.0,42.25,11.52,88.71,26.07,72.13
